País,Código,Número,Nome
Brazil,BRA,13,Team Photo
Brazil,BRA,14,Vinicius Júnior
Brazil,BRA,15,Rodrygo
Brazil,BRA,16,João Pedro
Brazil,BRA,17,Matheus Cunha
Brazil,BRA,18,Gabriel Martinelli
Brazil,BRA,19,Raphinha
Brazil,BRA,20,Estévão
Canada,CAN,1,Emblem
Canada,CAN,2,Dayne St.Clair
Canada,CAN,3,Alphonso Davies
Canada,CAN,4,Alistair Johnston
Canada,CAN,5,Samuel Adekugbe
Canada,CAN,6,Riche Larvea
Canada,CAN,7,Derek Cornelius
Canada,CAN,8,Moïse Bombito
Canada,CAN,9,Kamal Miller
Canada,CAN,10,Stephen Eustáquio
Canada,CAN,11,Ismaël Koné
Canada,CAN,12,Jonathan Osorio
Canada,CAN,13,Team Photo
Canada,CAN,14,Jacob Shaffelburg
Canada,CAN,15,Mathieu Choinière
Canada,CAN,16,Niko Sigur
Canada,CAN,17,Tajon Buchanan
Canada,CAN,18,Liam Millar
Canada,CAN,19,Cyle Larin
Canada,CAN,20,Jonathan David
Ivory Coast,CIV,1,Emblem
Ivory Coast,CIV,2,Yahia Fofana
Ivory Coast,CIV,3,Ghislain Konan
Ivory Coast,CIV,4,Wilfried Singo
Ivory Coast,CIV,5,Odilon Kossounou
Ivory Coast,CIV,6,Evan Ndicka
Ivory Coast,CIV,7,Willy Boly
Ivory Coast,CIV,8,Emmanuel Agbadou
Ivory Coast,CIV,9,Ousmane Diomande
Ivory Coast,CIV,10,Franck Kessie
Ivory Coast,CIV,11,Seko Fofana
Ivory Coast,CIV,12,Ibrahim Sangare
Ivory Coast,CIV,13,Team Photo
Ivory Coast,CIV,14,Jean-Philippe Gbamin
Ivory Coast,CIV,15,Amad Diallo
Ivory Coast,CIV,16,Sébastien Haller
Ivory Coast,CIV,17,Simon Adringa
Ivory Coast,CIV,18,Yan Diomande
Ivory Coast,CIV,19,Evann Guessand
Ivory Coast,CIV,20,Oumar Diakite
Congo DR,COD,1,Emblem
Congo DR,COD,2,Lionel Mpasi
Congo DR,COD,3,Aaron Wan-Bissaka
Congo DR,COD,4,Axel Tuanzebe
Congo DR,COD,5,Arthur Masuaku
Congo DR,COD,6,Chancel Mbemba
Congo DR,COD,7,Joris Kayembe
Congo DR,COD,8,Charles Pickel
Congo DR,COD,9,Ngal'ayel Mukau
Congo DR,COD,10,Edo Kayembe
Congo DR,COD,11,Samuel Moutoussamy
Congo DR,COD,12,Noah Sadiki
Congo DR,COD,13,Team Photo
Congo DR,COD,14,Théo Bongonda
Congo DR,COD,15,Meschak Elia
Congo DR,COD,16,Yoane Wissa
Congo DR,COD,17,Brian Cipenga
Congo DR,COD,18,Fiston Mayele
Congo DR,COD,19,Cédric Bakambu
Congo DR,COD,20,Nathanaël Mbuku
Colombia,COL,1,Emblem
Colombia,COL,2,Camilo Vargas
Colombia,COL,3,David Ospina
Colombia,COL,4,Dávinson Sánchez
Colombia,COL,5,Yerry Mina
Colombia,COL,6,Daniel Munoz
Colombia,COL,7,Johan Mojica
Colombia,COL,8,Jhon Lucumí
Colombia,COL,9,Santiago Arias
Colombia,COL,10,Jefferson Lerma
Colombia,COL,11,Kevin Castaño
Colombia,COL,12,Richard Rios
Colombia,COL,13,Team Photo
Colombia,COL,14,James Rodriguez
Colombia,COL,15,Juan Fernando Quintero
Colombia,COL,16,Jorge Carrascal
Colombia,COL,17,Jhon Arias
Colombia,COL,18,Jhon Cordova
Colombia,COL,19,Luis Suarez
Colombia,COL,20,Luis Diaz
Cape Verde,CPV,1,Emblem
Cape Verde,CPV,2,Vozinha
Cape Verde,CPV,3,Logan Costa
Cape Verde,CPV,4,Pico
Cape Verde,CPV,5,Diney
Cape Verde,CPV,6,Steven Moreira
Cape Verde,CPV,7,Wagner Pina
Cape Verde,CPV,8,Joao Paulo
Cape Verde,CPV,9,Yannick Semedo
Cape Verde,CPV,10,Kevin Pina
Cape Verde,CPV,11,Patrick Andrade
Cape Verde,CPV,12,Jamiro Monteiro
Cape Verde,CPV,13,Team Photo
Cape Verde,CPV,14,Deroy Duarte
Cape Verde,CPV,15,Garry Rodrigues
Cape Verde,CPV,16,Jovane Cabral
Cape Verde,CPV,17,Ryan Mendes
Cape Verde,CPV,18,Dailon Livramento
Cape Verde,CPV,19,Willy Semedo
Cape Verde,CPV,20,Bebe
Croatia,CRO,1,Emblem
Croatia,CRO,2,Dominik Livaković
Croatia,CRO,3,Duje Caleta-Car
Croatia,CRO,4,Josko Gvardiol
Croatia,CRO,5,Josip Stanišić
Croatia,CRO,6,Luka Vušković
Croatia,CRO,7,Josip Sutalo
Croatia,CRO,8,Kristijan Jakic
Croatia,CRO,9,Luka Modrić
Croatia,CRO,10,Mateo Kovacic
Croatia,CRO,11,Martin Baturina
Croatia,CRO,12,Lovro Majer
Croatia,CRO,13,Team Photo
Croatia,CRO,14,Mario Pasalic
Croatia,CRO,15,Petar Sucic
Croatia,CRO,16,Ivan Perišić
Croatia,CRO,17,Marco Pasalic
Croatia,CRO,18,Ante Budimir
Croatia,CRO,19,Andrej Kramarić
Croatia,CRO,20,Franjo Ivanovic
Curaçao,CUW,1,Emblem
Curaçao,CUW,2,Eloy Room
Curaçao,CUW,3,Armando Obispo
Curaçao,CUW,4,Sherel Floranus
Curaçao,CUW,5,Jurien Gaari
Curaçao,CUW,6,Joshua Brenet
Curaçao,CUW,7,Roshon Van Eijma
Curaçao,CUW,8,Shurandy Sambo
Curaçao,CUW,9,Livano Comenencia
Curaçao,CUW,10,Godfried Roemeratoe
Curaçao,CUW,11,Juninho Bacuna
Curaçao,CUW,11,Leandro Bacuna
Curaçao,CUW,13,Team Photo
Curaçao,CUW,14,Tahith Chong
Curaçao,CUW,15,Kenji Gorre
Curaçao,CUW,16,Jearl Margaritha
Curaçao,CUW,17,Jurgen Locadia
Curaçao,CUW,18,Jeremy Antonisse
Curaçao,CUW,19,Gervane Kastaneer
Curaçao,CUW,20,Sontje Hansen
Czechia,CZE,1,Emblem
Czechia,CZE,2,Matej Kovar
Czechia,CZE,3,Jindrich Stanek
Czechia,CZE,4,Ladislav Krejci
Czechia,CZE,5,Vladimir Coufal
Czechia,CZE,6,Jaroslav Zeleny
Czechia,CZE,7,Tomas Holes
Czechia,CZE,8,David Zima
Czechia,CZE,9,Michal Sadilek
Czechia,CZE,10,Lukas Provod
Czechia,CZE,11,Lukas Cerv
Czechia,CZE,12,Tomas Soucek
Czechia,CZE,13,Team Photo
Czechia,CZE,14,Pavel Sulc
Czechia,CZE,15,Matej Vydra
Czechia,CZE,16,Vasil Kusej
Czechia,CZE,17,Tomas Chory
Czechia,CZE,18,Vacilav Cerny
Czechia,CZE,19,Adam Hlozek
Czechia,CZE,20,Patrik Schick
Ecuador,ECU,1,Emblem
Ecuador,ECU,2,Hernán Galíndez
Ecuador,ECU,3,Gonzalo Valle
Ecuador,ECU,4,Piero Hincapié
Ecuador,ECU,5,Pervis Estupiñán
Ecuador,ECU,6,Willian Pacho
Ecuador,ECU,7,Ángelo Preciado
Ecuador,ECU,8,Joel Ordóñez
Ecuador,ECU,9,Moises Caicedo
Ecuador,ECU,10,Alan Franco
Ecuador,ECU,11,Kendry Paez
Ecuador,ECU,12,Pedro Vite
Ecuador,ECU,13,Team Photo
Ecuador,ECU,14,John Veboah
Ecuador,ECU,15,Leonardo Campana
Ecuador,ECU,16,Gonzalo Plata
Ecuador,ECU,17,Nilson Angulo
Ecuador,ECU,18,Alan Minda
Ecuador,ECU,19,Kevin Rodriguez
Ecuador,ECU,20,Enner Valencia
Egypt,EGY,1,Emblem
Egypt,EGY,2,Mohamed El Shenawy
Egypt,EGY,3,Mohamed Hany
Egypt,EGY,4,Mohamed Hamdy
Egypt,EGY,5,Yasser Ibrahim
Egypt,EGY,6,Khaled Sobhi
Egypt,EGY,7,Ramy Rabia
Egypt,EGY,8,Hossam Abdelmaguid
Egypt,EGY,9,Ahmed Fatouh
Egypt,EGY,10,Marwan Attia
Egypt,EGY,11,Zizo
Egypt,EGY,12,Hamdy Fathy
Egypt,EGY,13,Team Photo
Egypt,EGY,14,Mohamed Lasheen
Egypt,EGY,15,Emam Ashour
Egypt,EGY,16,Osama Faisal
Egypt,EGY,17,Mohamed Salah
Egypt,EGY,18,Mostafa Mohamed
Egypt,EGY,19,Trezeguet
Egypt,EGY,20,Omar Marsmoush
England,ENG,1,Emblem
England,ENG,2,Jordan Pickford
England,ENG,3,John Stones
England,ENG,4,Maric Guéhi
England,ENG,5,Ezri Konsa
England,ENG,6,Trent Alexander-Arnold
England,ENG,7,Reece James
England,ENG,8,Dan Burn
England,ENG,9,Jordan Henderson
England,ENG,10,Declan Rice
England,ENG,11,Jude Bellingham
England,ENG,12,Cole Palmer
England,ENG,13,Team Photo
England,ENG,14,Morgan Rogers
England,ENG,15,Anthony Gordon
England,ENG,16,Phil Foden
England,ENG,17,Bukayo Saka
England,ENG,18,Harry Kane
England,ENG,19,Marcus Rashford
England,ENG,20,Ollie Watkins
Spain,ESP,1,Emblem
Spain,ESP,2,Unai Simon
Spain,ESP,3,Robin Le Normand
Spain,ESP,4,Aymeric Laporte
Spain,ESP,5,Dean Huijsen
Spain,ESP,6,Pedro Porro
Spain,ESP,7,Dani Carvajal
Spain,ESP,8,Marc Cucurella
Spain,ESP,9,Martín Zubimendi
Spain,ESP,10,Rodri
Spain,ESP,11,Pedri
Spain,ESP,12,Fabian Ruiz
Spain,ESP,13,Team Photo
Spain,ESP,14,Mikel Merino
Spain,ESP,15,Lamine Yamal
Spain,ESP,16,Dani Olmo
Spain,ESP,17,Nico Williams
Spain,ESP,18,Ferran Torres
Spain,ESP,19,Álvaro Morata
Spain,ESP,20,Mikel Oyarzabal
France,FRA,1,Emblem
France,FRA,2,Mike Maignan
France,FRA,3,Theo Hernandez
France,FRA,4,William Saliba
France,FRA,5,Jules Kounde
France,FRA,6,Ibrahima Konate
France,FRA,7,Dayot Upamecano
France,FRA,8,Lucas Digne
France,FRA,9,Aurélien Tchouaméni
France,FRA,10,Eduardo Camavinga
France,FRA,11,Manu Kone
France,FRA,12,Adrien Rabiot
France,FRA,13,Team Photo
France,FRA,14,Michael Olise
France,FRA,15,Ousmane Dembele
France,FRA,16,Bradley Barcola
France,FRA,17,Désiré Doué
France,FRA,18,Kingsley Coman
France,FRA,19,Hugo Ekitike
France,FRA,20,Kylian Mbappe
Germany,GER,1,Emblem
Germany,GER,2,Marc-André ter Stegen
Germany,GER,3,Jonathan Tah
Germany,GER,4,David Raum
Germany,GER,5,Nico Schlotterbeck
Germany,GER,6,Antonio Rüdiger
Germany,GER,7,Waldemar Anton
Germany,GER,8,Ridle Baku
Germany,GER,9,Maximilian Mittelstadt
Germany,GER,10,Joshua Kimmich
Germany,GER,11,Florian Wirtz
Germany,GER,12,Felix Nmecha
Germany,GER,13,Team Photo
Germany,GER,14,Leon Goretzka
Germany,GER,15,Jamal Musiala
Germany,GER,16,Serge Gnabry
Germany,GER,17,Kai Havertz
Germany,GER,18,Leroy Sane
Germany,GER,19,Karim Adeyemi
Germany,GER,20,Nick Woltemade
Ghana,GHA,1,Emblem
Ghana,GHA,2,Lawrence Ati Zigi
Ghana,GHA,3,Tariq Lamptey
Ghana,GHA,4,Mohammed Salisu
Ghana,GHA,5,Alidu Seidu
Ghana,GHA,6,Alexander Djiku
Ghana,GHA,7,Gideon Mensah
Ghana,GHA,8,Caleb Yirenkyi
Ghana,GHA,9,Abdul Issahaku Fatawu
Ghana,GHA,10,Thomas Partey
Ghana,GHA,11,Salis Abdul Samed
Ghana,GHA,12,Kamaldeen Sulemana
Ghana,GHA,13,Team Photo
Ghana,GHA,14,Mohammed Kudus
Ghana,GHA,15,Inaki Williams
Ghana,GHA,16,Jordan Ayew
Ghana,GHA,17,Andrew Ayew
Ghana,GHA,18,Joseph Paintsil
Ghana,GHA,19,Osman Bukari
Ghana,GHA,20,Antoine Semenyo
Haiti,HAI,1,Emblem
Haiti,HAI,2,Johny Placide
Haiti,HAI,3,Carlens Arcus
Haiti,HAI,4,Martin Expérience
Haiti,HAI,5,Jean-Kevin Duverne
Haiti,HAI,6,Ricardo Adé
Haiti,HAI,7,Duke Lacroix
Haiti,HAI,8,Garven Metusala
Haiti,HAI,9,Hannes Delcroix
Haiti,HAI,10,Leverton Pierre
Haiti,HAI,11,Danley Jean Jacques
Haiti,HAI,12,Jean-Ricner Bellegarde
Haiti,HAI,13,Team Photo
Haiti,HAI,14,Christopher Attys
Haiti,HAI,15,Derrick Etienne Jr.
Haiti,HAI,16,Josue Casimir
Haiti,HAI,17,Ruben Providence
Haiti,HAI,18,Duckens Nazon
Haiti,HAI,19,Louicius Deedson
Haiti,HAI,20,Frantzdy Pierrot
Iran,IRN,1,Emblem
Iran,IRN,2,Alirez Beiranvand
Iran,IRN,3,Morteza Pouraliganji
Iran,IRN,4,Ehsan Hajsafi
Iran,IRN,5,Milad Mohammadi
Iran,IRN,6,Shojae Khalilzadeh
Iran,IRN,7,Ramin Rezaeian
Iran,IRN,8,Hossein Kanaani
Iran,IRN,9,Sadegh Moharrami
Iran,IRN,10,Saleh Hardani
Iran,IRN,11,Saeed Ezatolahi
Iran,IRN,12,Saman Ghoddos
Iran,IRN,13,Team Photo
Iran,IRN,14,Omid Noorafkan
Iran,IRN,15,Roozbeh Cheshmi
Iran,IRN,16,Mohammad Mohebi
Iran,IRN,17,Sardar Azmoun
Iran,IRN,18,Mehdi Taremi
Iran,IRN,19,Alireza Jahanbakhsh
Iran,IRN,20,Ali Gholizadeh
Iraq,IRQ,1,Emblem
Iraq,IRQ,2,Jalal Hassan
Iraq,IRQ,3,Rebin Sulaka
Iraq,IRQ,4,Hussein Ali
Iraq,IRQ,5,Akam Hashem
Iraq,IRQ,6,Merchas Doski
Iraq,IRQ,7,Zaid Tahseen
Iraq,IRQ,8,Manaf Younis
Iraq,IRQ,9,Zidane Iqbal
Iraq,IRQ,10,Amir Al-Ammari
Iraq,IRQ,11,Ibrahim Bavesh
Iraq,IRQ,12,Ali Jasim
Iraq,IRQ,13,Team Photo
Iraq,IRQ,14,Youssef Amyn
Iraq,IRQ,15,Aimar Sher
Iraq,IRQ,16,Marko Farji
Iraq,IRQ,17,Osama Rashid
Iraq,IRQ,18,Ali Al-Hamadi
Iraq,IRQ,19,Aymen Hussein
Iraq,IRQ,20,Mohanad Ali
Jordan,JOR,1,Emblem
Jordan,JOR,2,Yazeed Abulaila
Jordan,JOR,3,Ihsan Haddad
Jordan,JOR,4,Mohammad Abu Hashish
Jordan,JOR,5,Yazan Al-Arab
Jordan,JOR,6,Abdallah Nasib
Jordan,JOR,7,Saleem Obaid
Jordan,JOR,8,Mohammad Abualnadi
Jordan,JOR,9,Ibrahim Saadeh
Jordan,JOR,10,Nizar Al-Rashdan
Jordan,JOR,11,Noor Al-Rawabdeh
Jordan,JOR,12,Mohannad Abu Taha
Jordan,JOR,13,Team Photo
Jordan,JOR,14,Amer Jamous
Jordan,JOR,15,Mousa Al-Taamari
Jordan,JOR,16,Yazan Al-Naimat
Jordan,JOR,17,Mahmoud Al-Mardi
Jordan,JOR,18,Ali Olwan
Jordan,JOR,19,Mohammad Abu Zrayq
Jordan,JOR,20,Ibrahim Sabra
Japan,JPN,1,Emblem
Japan,JPN,2,Zion Suzuki
Japan,JPN,3,Henry Heroki Mochizuki
Japan,JPN,4,Ayumu Seko
Japan,JPN,5,Junnosuke Suzuki
Japan,JPN,6,Shogo Taniguchi
Japan,JPN,7,Tsuyoshi Watanabe
Japan,JPN,8,Kaishu Sano
Japan,JPN,9,Yuki Soma
Japan,JPN,10,Ao Tanaka
Japan,JPN,11,Daichi Kamada
Japan,JPN,12,Takefusa Kubo
Japan,JPN,13,Team Photo
Japan,JPN,14,Ritsu Doan
Japan,JPN,15,Keito Nakamura
Japan,JPN,16,Takumi Minamino
Japan,JPN,17,Shuto Machino
Japan,JPN,18,Junya Ito
Japan,JPN,19,Koki Ogawa
Japan,JPN,20,Ayase Ueda
South Korea,KOR,1,Emblem
South Korea,KOR,2,Hyeon-woo Jo
South Korea,KOR,3,Seung-Gyu Kim
South Korea,KOR,4,Min-jae Kim
South Korea,KOR,5,Yu-min Cho
South Korea,KOR,6,Young-woo Seol
South Korea,KOR,7,Han-beom Lee
South Korea,KOR,8,Tae-seok Lee
South Korea,KOR,9,Myung-jae Lee
South Korea,KOR,10,Jae-sung Lee
South Korea,KOR,11,In-beom Hwang
South Korea,KOR,12,Kang-in Lee
South Korea,KOR,13,Team Photo
South Korea,KOR,14,Seung-ho Paik
South Korea,KOR,15,Jens Castrop
South Korea,KOR,16,Dongg-yeong Lee
South Korea,KOR,17,Gue-sung Cho
South Korea,KOR,18,Heung-min Son
South Korea,KOR,19,Hee-chan Hwang
South Korea,KOR,20,Hyeon-Gyu Oh
Saudi Arabia,KSA,1,Emblem
Saudi Arabia,KSA,2,Nawaf Alaqidi
Saudi Arabia,KSA,3,Abdulrahman Al-Sanbi
Saudi Arabia,KSA,4,Saud Abdulhamid
Saudi Arabia,KSA,5,Nawaf Bouwashl
Saudi Arabia,KSA,6,Jihad Thakri
Saudi Arabia,KSA,7,Moteb Al-Harbi
Saudi Arabia,KSA,8,Hassan Altambakti
Saudi Arabia,KSA,9,Musab Aljuwayr
Saudi Arabia,KSA,10,Ziyad Aljohani
Saudi Arabia,KSA,11,Abdullah Alkhaibari
"Saudi Arabia
KSA-13.  Team Photo Saudi Arabia",KAS,12,Nasser Aldawsari
Saudi Arabia,KSA,14,Saleh Abu Alshamat
Saudi Arabia,KSA,15,Marwan Alsahafi
Saudi Arabia,KSA,16,Salem Aldawsari
Saudi Arabia,KSA,17,Abdulrahman Al-Aboud
Saudi Arabia,KSA,18,Feras Akbrikan
Saudi Arabia,KSA,19,Saleh Alshehri
Saudi Arabia,KSA,20,Abdullah Al-Hamdan
Morocco,MAR,1,Emblem
Morocco,MAR,2,Yassine Bounou
Morrocco,MAR,3,Munir El Kajoui
Morocco,MAR,4,Achraf Hakimi
Morocco,MAR,5,Noussair Mazraoui
Morocco,MAR,6,Nayef Aguerd
Morocco,MAR,7,Roman Saiss
Morocco,MAR,8,Jawad El Yamio
Morocco,MAR,9,Adam Masina
Morocco,MAR,10,Sofyan Amrabat
Morrocco,MAR,11,Azzedine Ounahi
Morocco,MAR,12,Eliesse Ben Seghir
Morocco,MAR,13,Team Photo
Morocco,MAR,14,Bilal El Khannouss
Morocco,MAR,15,Ismael Saibari
Morocco,MAR,16,Youssef En-Nesyri
Morocco,MAR,17,Abde Ezzalzouli
Morocco,MAR,18,Soufiane Rahimi
Morocco,MAR,19,Brahim Diaz
Morocco,MAR,20,Ayoub El Kaabi
Mexico,MEX,1,Emblem
Mexico,MEX,2,Luis Malagón
Mexico,MEX,3,Johan Vasquez
Mexico,MEX,4,Jorge Sánchez
Mexico,MEX,5,Cesar Montes
Mexico,MEX,6,Jesus Gallardo
Mexico,MEX,7,Israel Reyes
Mexico,MEX,8,Diego Lainez
Mexico,MEX,9,Carlos Rodriguez
Mexico,MEX,10,Edson Alvarez
Mexico,MEX,11,Orbelin Pineda
Mexico,MEX,12,Marcel Ruiz
Mexico,MEX,13,Team Photo
Mexico,MEX,14,Érick Sánchez
Mexico,MEX,15,Hirving Lozano
Mexico,MEX,16,Santiago Giménez
Mexico,MEX,17,Raúl Jiménez
Mexico,MEX,18,Alexis Vega
Mexico,MEX,19,Roberto Alvarado
Mexico,MEX,20,Cesar Huerta
Netherlands,NED,1,Emblem
Netherlands,NED,2,Bart Verbruggen
Netherlands,NED,3,Virgil van Dijk
Netherlands,NED,4,Micky van de Ven
Netherlands,NED,5,Jurien Timber
Netherlands,NED,6,Denzel Dumfries
Netherlands,NED,7,Nathan Aké
Netherlands,NED,8,Jereme Frimpong
Netherlands,NED,9,Jan Paul van Hecke
Netherlands,NED,10,Tijjani Reijnders
Netherlands,NED,11,Ryan Gravenberch
Netherlands,NED,12,Teun Koopmeiners
Netherlands,NED,13,Team Photo
Netherlands,NED,14,Frenkie de Jong
Netherlands,NED,15,Xavi Simons
Netherlands,NED,16,Justin Kluivert
Netherlands,NED,17,Memphis Depay
Netherlands,NED,18,Donyell Malen
Netherlands,NED,19,Wout Weghorst
Netherlands,NED,20,Cody Gakpo
Norway,NOR,1,Emblem
Norway,NOR,2,Orjan Nyland
Norway,NOR,3,Julian Ryerson
Norway,NOR,4,Leo Ostigård
Norway,NOR,5,Kristoffer Vassbakk Ajer
Norway,NOR,6,Marcus Holmgren Pedersen
Norway,NOR,7,David Møller Wolfe
Norway,NOR,8,Torbjørn Heggem
Norway,NOR,9,Morten Thorsby
Norway,NOR,10,Martin Ødegaard
Norway,NOR,11,Sander Berge
Norway,NOR,12,Andreas Schjelderup
Norway,NOR,13,Team Photo
Norway,NOR,14,Patrick Berg
Norway,NOR,15,Erling Haaland
Norway,NOR,16,Alexander Sørloth
Norway,NOR,17,Aron Dønnum
Norway,NOR,18,Jorgen Strand Larsen
Norway,NOR,19,Antonio Nusa
Norway,NOR,20,Oscar Bobb
New Zealand,NZL,1,Emblem
New Zealand,NZL,2,Max Crocombe Payne
New Zealand,NZL,3,Alex Paulsen
New Zealand,NZL,4,Michael Boxall
New Zealand,NZL,5,Liberato Cacace
New Zealand,NZL,6,Tim Payne
New Zealand,NZL,7,Tyler Bindon
New Zealand,NZL,8,Francis de Vries
New Zealand,NZL,9,Finn Surman
New Zealand,NZL,10,Joe Bell
New Zealand,NZL,11,Sarpreet Singh
New Zealand,NZL,12,Ryan Thomas
New Zealand,NZL,13,Team Photo
New Zealand,NZL,14,Matthew Garbett
New Zealand,NZL,15,Marko Stamenić
New Zealand,NZL,16,Ben Old
New Zealand,NZL,17,Chris Wood
New Zealand,NZL,18,Elijah Just
New Zealand,NZL,19,Callum McCowatt
New Zealand,NZL,20,Kosta Barbarouses
Panama,PAN,1,Emblem
Panama,PAN,2,Orlando Mosquera
Panama,PAN,3,Luis Mejia
Panama,PAN,4,Fidel Escobar
Panama,PAN,5,Andres Andrade
Panama,PAN,6,Michael Amir Murillo
Panama,PAN,7,Eric Davis
Panama,PAN,8,Jose Cordoba
Panama,PAN,9,Cesar Blackman
